Report Date,Deceased
31/5/2020,0
1/6/2020,0
2/6/2020,0
3/6/2020,0
4/6/2020,0
5/6/2020,0
6/6/2020,0
7/6/2020,0
8/6/2020,0
9/6/2020,0
10/6/2020,0
11/6/2020,0
12/6/2020,0
13/6/2020,0
14/6/2020,0
15/6/2020,0
16/6/2020,0
17/6/2020,0
18/6/2020,0
19/6/2020,0
20/6/2020,0
21/6/2020,1
22/6/2020,0
23/6/2020,1
24/6/2020,0
25/6/2020,1
26/6/2020,0
27/6/2020,0
28/6/2020,0
29/6/2020,0
30/6/2020,0
1/7/2020,0
2/7/2020,0
3/7/2020,0
4/7/2020,0
5/7/2020,0
6/7/2020,0
7/7/2020,0
8/7/2020,0
9/7/2020,0
10/7/2020,0
11/7/2020,0
12/7/2020,0
13/7/2020,0
14/7/2020,1
15/7/2020,0
16/7/2020,2
17/7/2020,0
18/7/2020,2
19/7/2020,0
20/7/2020,0
21/7/2020,2
22/7/2020,0
23/7/2020,1
24/7/2020,1
25/7/2020,2
26/7/2020,0
27/7/2020,4
28/7/2020,0
29/7/2020,2
30/7/2020,0
31/7/2020,3
1/8/2020,4
2/8/2020,3
3/8/2020,3
4/8/2020,4
5/8/2020,2
6/8/2020,1
7/8/2020,2
8/8/2020,1
9/8/2020,4
10/8/2020,3
11/8/2020,4
12/8/2020,5
13/8/2020,2
14/8/2020,1
15/8/2020,2
16/8/2020,1
17/8/2020,0
18/8/2020,1
19/8/2020,2
20/8/2020,1
21/8/2020,2
22/8/2020,1
23/8/2020,1
24/8/2020,0
25/8/2020,0
26/8/2020,1
27/8/2020,1
28/8/2020,5
29/8/2020,2
30/8/2020,2
31/8/2020,1
1/9/2020,1
2/9/2020,3
3/9/2020,1
4/9/2020,0
5/9/2020,0
6/9/2020,1
7/9/2020,3
8/9/2020,1
9/9/2020,0
10/9/2020,0
11/9/2020,0
12/9/2020,1
13/9/2020,0
14/9/2020,1
15/9/2020,0
16/9/2020,1
17/9/2020,0
18/9/2020,1
19/9/2020,0
20/9/2020,0
21/9/2020,0
22/9/2020,0
23/9/2020,0
24/9/2020,1
25/9/2020,0
26/9/2020,1
27/9/2020,0
28/9/2020,0
29/9/2020,0
30/9/2020,0
1/10/2020,0
2/10/2020,0
3/10/2020,0
4/10/2020,0
5/10/2020,0
6/10/2020,0
7/10/2020,0
8/10/2020,0
9/10/2020,0
10/10/2020,0
11/10/2020,0
12/10/2020,0
13/10/2020,0
14/10/2020,0
15/10/2020,0
16/10/2020,0
17/10/2020,0
18/10/2020,0
19/10/2020,0
20/10/2020,0
21/10/2020,0
22/10/2020,0
23/10/2020,0
24/10/2020,0
25/10/2020,0
26/10/2020,0
27/10/2020,0
28/10/2020,0
29/10/2020,0
30/10/2020,0
31/10/2020,0
1/11/2020,0
2/11/2020,0
3/11/2020,0
4/11/2020,1
5/11/2020,0
6/11/2020,1
7/11/2020,0
8/11/2020,0
9/11/2020,0
10/11/2020,1
11/11/2020,0
12/11/2020,0
13/11/2020,0
14/11/2020,0
15/11/2020,0
16/11/2020,0
17/11/2020,0
18/11/2020,0
19/11/2020,0
20/11/2020,0
21/11/2020,0
22/11/2020,0
23/11/2020,0
24/11/2020,0
25/11/2020,0
26/11/2020,0
27/11/2020,0
28/11/2020,1
29/11/2020,0
30/11/2020,0
1/12/2020,0
2/12/2020,1
3/12/2020,0
4/12/2020,2
5/12/2020,0
6/12/2020,0
7/12/2020,0
8/12/2020,0
9/12/2020,2
10/12/2020,0
11/12/2020,0
12/12/2020,1
13/12/2020,2
14/12/2020,3
15/12/2020,2
16/12/2020,1
17/12/2020,2
18/12/2020,4
19/12/2020,0
20/12/2020,0
21/12/2020,2
22/12/2020,1
23/12/2020,1
24/12/2020,2
25/12/2020,1
26/12/2020,0
27/12/2020,0
28/12/2020,3
29/12/2020,4
30/12/2020,3
31/12/2020,2
1/1/2021,1
2/1/2021,1
3/1/2021,0
4/1/2021,1
5/1/2021,2
6/1/2021,1
7/1/2021,0
8/1/2021,1
9/1/2021,2
10/1/2021,1
11/1/2021,0
12/1/2021,1
13/1/2021,2
14/1/2021,0
15/1/2021,0
16/1/2021,1
17/1/2021,0
18/1/2021,1
19/1/2021,1
20/1/2021,2
21/1/2021,1
22/1/2021,0
23/1/2021,1
24/1/2021,1
25/1/2021,2
26/1/2021,2
27/1/2021,1
28/1/2021,3
29/1/2021,1
30/1/2021,0
31/1/2021,3
1/2/2021,1
2/2/2021,1
3/2/2021,2
4/2/2021,1
5/2/2021,0
6/2/2021,0
7/2/2021,0
8/2/2021,0
9/2/2021,1
10/2/2021,1
11/2/2021,3
12/2/2021,1
13/2/2021,1
14/2/2021,0
15/2/2021,0
16/2/2021,1
17/2/2021,1
18/2/2021,2
19/2/2021,0
20/2/2021,0
21/2/2021,0
22/2/2021,0
23/2/2021,0
24/2/2021,0
25/2/2021,1
26/2/2021,0
27/2/2021,0
28/2/2021,1
1/3/2021,1
2/3/2021,0
3/3/2021,0
4/3/2021,1
5/3/2021,0
6/3/2021,1
7/3/2021,0
8/3/2021,0
9/3/2021,0
10/3/2021,0
11/3/2021,1
12/3/2021,0
13/3/2021,0
14/3/2021,0
15/3/2021,0
16/3/2021,0
17/3/2021,0
18/3/2021,0
19/3/2021,0
20/3/2021,0
21/3/2021,0
22/3/2021,0
23/3/2021,0
24/3/2021,1
25/3/2021,0
26/3/2021,1
27/3/2021,0
28/3/2021,0
29/3/2021,0
30/3/2021,0
31/3/2021,0
1/4/2021,0
2/4/2021,0
3/4/2021,0
4/4/2021,0
5/4/2021,0
6/4/2021,0
7/4/2021,0
8/4/2021,0
9/4/2021,1
10/4/2021,1
11/4/2021,0
12/4/2021,0
13/4/2021,0
14/4/2021,2
15/4/2021,0
16/4/2021,0
17/4/2021,0
18/4/2021,0
19/4/2021,0
20/4/2021,0
21/4/2021,0
22/4/2021,0
23/4/2021,0
24/4/2021,0
25/4/2021,0
26/4/2021,0
27/4/2021,0
28/4/2021,0
29/4/2021,0
30/4/2021,0
1/5/2021,1
2/5/2021,0
3/5/2021,0
4/5/2021,0
5/5/2021,0
6/5/2021,0
7/5/2021,0
8/5/2021,0
9/5/2021,0
10/5/2021,0
11/5/2021,0
12/5/2021,0
13/5/2021,0
14/5/2021,0
15/5/2021,0
16/5/2021,0
17/5/2021,0
18/5/2021,0
19/5/2021,0
20/5/2021,0
21/5/2021,0
22/5/2021,0
23/5/2021,0
24/5/2021,0
25/5/2021,0
26/5/2021,0
27/5/2021,0
28/5/2021,0
29/5/2021,0
30/5/2021,0
31/5/2021,0
1/6/2021,0
2/6/2021,0
3/6/2021,0
4/6/2021,0
5/6/2021,0
6/6/2021,0
7/6/2021,0
8/6/2021,0
9/6/2021,0
10/6/2021,0
11/6/2021,0
12/6/2021,0
13/6/2021,0
14/6/2021,0
15/6/2021,0
16/6/2021,0
17/6/2021,0
18/6/2021,0
19/6/2021,0
20/6/2021,0
21/6/2021,0
22/6/2021,0
23/6/2021,0
24/6/2021,0
25/6/2021,1
26/6/2021,0
27/6/2021,0
28/6/2021,0
29/6/2021,0
30/6/2021,0
1/7/2021,0
2/7/2021,0
3/7/2021,0
4/7/2021,0
5/7/2021,1
6/7/2021,0
7/7/2021,0
8/7/2021,0
9/7/2021,0
10/7/2021,0
11/7/2021,0
12/7/2021,0
13/7/2021,0
14/7/2021,0
15/7/2021,0
16/7/2021,0
17/7/2021,0
18/7/2021,0
19/7/2021,0
20/7/2021,0
21/7/2021,0
22/7/2021,0
23/7/2021,0
24/7/2021,0
25/7/2021,0
26/7/2021,0
27/7/2021,0
28/7/2021,0
29/7/2021,0
30/7/2021,0
31/7/2021,0
1/8/2021,0
2/8/2021,0
3/8/2021,0
4/8/2021,0
5/8/2021,0
6/8/2021,0
7/8/2021,0
8/8/2021,0
9/8/2021,0
10/8/2021,0
11/8/2021,0
12/8/2021,0
13/8/2021,0
14/8/2021,0
15/8/2021,0
16/8/2021,0
17/8/2021,0
18/8/2021,0
19/8/2021,0
20/8/2021,0
21/8/2021,0
22/8/2021,0
23/8/2021,0
24/8/2021,0
25/8/2021,0
26/8/2021,0
27/8/2021,0
28/8/2021,0
29/8/2021,0
30/8/2021,0
31/8/2021,0
1/9/2021,0
2/9/2021,0
3/9/2021,0
4/9/2021,0
5/9/2021,0
6/9/2021,0
7/9/2021,0
8/9/2021,0
9/9/2021,0
10/9/2021,0
11/9/2021,0
12/9/2021,0
13/9/2021,1
14/9/2021,0
15/9/2021,0
16/9/2021,0
17/9/2021,0
18/9/2021,0
19/9/2021,0
20/9/2021,0
21/9/2021,0
22/9/2021,0
23/9/2021,0
24/9/2021,0
25/9/2021,0
26/9/2021,0
27/9/2021,0
28/9/2021,0
29/9/2021,0
30/9/2021,0
1/10/2021,0
2/10/2021,0
3/10/2021,0
4/10/2021,0
5/10/2021,0
6/10/2021,0
7/10/2021,0
8/10/2021,0
9/10/2021,0
10/10/2021,0
11/10/2021,0
12/10/2021,0
13/10/2021,0
14/10/2021,0
15/10/2021,0
16/10/2021,0
17/10/2021,0
18/10/2021,0
19/10/2021,0
20/10/2021,0
21/10/2021,0
22/10/2021,0
23/10/2021,0
24/10/2021,0
25/10/2021,0
26/10/2021,0
27/10/2021,0
28/10/2021,0
29/10/2021,0
30/10/2021,0
31/10/2021,0
1/11/2021,0
2/11/2021,0
3/11/2021,0
4/11/2021,0
5/11/2021,0
6/11/2021,0
7/11/2021,0
8/11/2021,0
9/11/2021,0
10/11/2021,0
11/11/2021,0
12/11/2021,0
13/11/2021,0
14/11/2021,0
15/11/2021,0
16/11/2021,0
17/11/2021,0
18/11/2021,0
19/11/2021,0
20/11/2021,0
21/11/2021,0
22/11/2021,0
23/11/2021,0
24/11/2021,0
25/11/2021,0
26/11/2021,0
27/11/2021,0
28/11/2021,0
29/11/2021,0
30/11/2021,0
1/12/2021,0
2/12/2021,0
3/12/2021,0
4/12/2021,0
5/12/2021,0
6/12/2021,0
7/12/2021,0
8/12/2021,0
9/12/2021,0
10/12/2021,0
11/12/2021,0
12/12/2021,0
13/12/2021,0
14/12/2021,0
15/12/2021,0
16/12/2021,0
17/12/2021,0
18/12/2021,0
19/12/2021,0
20/12/2021,0
21/12/2021,0
22/12/2021,0
23/12/2021,0
24/12/2021,0
25/12/2021,0
26/12/2021,0
27/12/2021,0
28/12/2021,0
29/12/2021,0
30/12/2021,0
31/12/2021,0
1/1/2022,0
2/1/2022,0
3/1/2022,0
4/1/2022,0
5/1/2022,0
6/1/2022,0
7/1/2022,0
8/1/2022,0
9/1/2022,0
10/1/2022,0
11/1/2022,0
12/1/2022,0
13/1/2022,0
14/1/2022,0
15/1/2022,0
16/1/2022,0
17/1/2022,0
18/1/2022,0
19/1/2022,0
20/1/2022,0
21/1/2022,0
22/1/2022,0
23/1/2022,0
24/1/2022,0
25/1/2022,0
26/1/2022,0
27/1/2022,0
28/1/2022,0
29/1/2022,0
30/1/2022,0
31/1/2022,0
1/2/2022,0
2/2/2022,0
3/2/2022,0
4/2/2022,0
5/2/2022,0
6/2/2022,0
7/2/2022,0
8/2/2022,0
9/2/2022,2
10/2/2022,1
11/2/2022,0
12/2/2022,3
13/2/2022,0
14/2/2022,2
15/2/2022,3
16/2/2022,3
17/2/2022,11
18/2/2022,21
19/2/2022,17
20/2/2022,12
21/2/2022,12
22/2/2022,36
23/2/2022,49
24/2/2022,40
25/2/2022,72
26/2/2022,80
27/2/2022,82
28/2/2022,85
1/3/2022,246
2/3/2022,178
3/3/2022,198
4/3/2022,188
5/3/2022,220
6/3/2022,233
7/3/2022,280
8/3/2022,291
9/3/2022,291
10/3/2022,281
11/3/2022,294
12/3/2022,285
13/3/2022,264
14/3/2022,286
15/3/2022,289
16/3/2022,279
17/3/2022,289
18/3/2022,265
19/3/2022,249
20/3/2022,246
21/3/2022,223
22/3/2022,245
23/3/2022,205
24/3/2022,201
25/3/2022,192
26/3/2022,139
27/3/2022,151
28/3/2022,168
29/3/2022,151
30/3/2022,135
31/3/2022,119
1/4/2022,120
2/4/2022,116
3/4/2022,111
4/4/2022,90
5/4/2022,87
6/4/2022,111
7/4/2022,97
8/4/2022,86
9/4/2022,62
10/4/2022,65
11/4/2022,57
12/4/2022,59
13/4/2022,62
14/4/2022,54
15/4/2022,67
16/4/2022,41
17/4/2022,29
18/4/2022,20
19/4/2022,17
20/4/2022,10
21/4/2022,26
22/4/2022,15
23/4/2022,9
24/4/2022,13
25/4/2022,18
26/4/2022,7
27/4/2022,8
28/4/2022,5
29/4/2022,11
30/4/2022,10
1/5/2022,5
2/5/2022,5
3/5/2022,7
4/5/2022,3
5/5/2022,5
6/5/2022,11
7/5/2022,0
8/5/2022,2
9/5/2022,1
10/5/2022,5
11/5/2022,3
12/5/2022,1
13/5/2022,3
14/5/2022,1
15/5/2022,1
16/5/2022,0
17/5/2022,0
18/5/2022,4
19/5/2022,1
20/5/2022,4
21/5/2022,0
22/5/2022,0
23/5/2022,0
24/5/2022,0
25/5/2022,2
26/5/2022,2
27/5/2022,1
28/5/2022,1
29/5/2022,0
30/5/2022,2
31/5/2022,0
1/6/2022,1
2/6/2022,1
3/6/2022,2
4/6/2022,0
5/6/2022,4
6/6/2022,0
7/6/2022,3
8/6/2022,0
9/6/2022,1
10/6/2022,0
11/6/2022,0
12/6/2022,0
13/6/2022,0
14/6/2022,1
15/6/2022,1
16/6/2022,0
17/6/2022,1
18/6/2022,0
19/6/2022,2
20/6/2022,1
21/6/2022,0
22/6/2022,1
23/6/2022,1
24/6/2022,0
25/6/2022,0
26/6/2022,0
27/6/2022,0
28/6/2022,1
29/6/2022,0
30/6/2022,2
1/7/2022,1
2/7/2022,3
3/7/2022,0
4/7/2022,0
5/7/2022,0
6/7/2022,1
7/7/2022,1
8/7/2022,3
9/7/2022,0
10/7/2022,2
11/7/2022,7
12/7/2022,1
13/7/2022,2
14/7/2022,5
15/7/2022,5
16/7/2022,1
17/7/2022,4
18/7/2022,3
19/7/2022,4
20/7/2022,1
21/7/2022,3
22/7/2022,6
23/7/2022,7
24/7/2022,8
25/7/2022,3
26/7/2022,6
27/7/2022,10
28/7/2022,5
29/7/2022,5
30/7/2022,4
31/7/2022,1
1/8/2022,6
2/8/2022,11
3/8/2022,4
4/8/2022,3
5/8/2022,4
6/8/2022,4
7/8/2022,5
8/8/2022,7
9/8/2022,3
10/8/2022,4
11/8/2022,1
12/8/2022,4
13/8/2022,3
14/8/2022,3
15/8/2022,4
16/8/2022,11
17/8/2022,4
18/8/2022,5
19/8/2022,8
20/8/2022,5
21/8/2022,3
22/8/2022,5
23/8/2022,10
24/8/2022,14
25/8/2022,9
26/8/2022,7
27/8/2022,4
28/8/2022,10
29/8/2022,4
30/8/2022,13
31/8/2022,9
1/9/2022,11
2/9/2022,8
3/9/2022,7
4/9/2022,8
5/9/2022,8
6/9/2022,9
7/9/2022,16
8/9/2022,12
9/9/2022,11
10/9/2022,8
11/9/2022,11
12/9/2022,11
13/9/2022,10
14/9/2022,10
15/9/2022,6
16/9/2022,16
17/9/2022,16
18/9/2022,23
19/9/2022,10
20/9/2022,7
21/9/2022,9
22/9/2022,17
23/9/2022,165
24/9/2022,7
25/9/2022,10
26/9/2022,12
27/9/2022,6
28/9/2022,14
29/9/2022,5
30/9/2022,8
1/10/2022,6
2/10/2022,6
3/10/2022,3
4/10/2022,8
5/10/2022,10
6/10/2022,6
7/10/2022,2
8/10/2022,13
9/10/2022,3
10/10/2022,10
11/10/2022,9
12/10/2022,9
13/10/2022,8
14/10/2022,7
15/10/2022,7
16/10/2022,5
17/10/2022,5
18/10/2022,7
19/10/2022,12
20/10/2022,9
21/10/2022,9
22/10/2022,7
23/10/2022,4
24/10/2022,7
25/10/2022,10
26/10/2022,7
27/10/2022,8
28/10/2022,7
29/10/2022,8
30/10/2022,12
31/10/2022,12
1/11/2022,13
2/11/2022,8
3/11/2022,10
4/11/2022,11
5/11/2022,18
6/11/2022,13
7/11/2022,5
8/11/2022,4
9/11/2022,13
10/11/2022,9
11/11/2022,10
12/11/2022,6
13/11/2022,9
14/11/2022,10
15/11/2022,13
16/11/2022,8
17/11/2022,12
18/11/2022,8
19/11/2022,9
20/11/2022,13
21/11/2022,11
22/11/2022,13
23/11/2022,11
24/11/2022,13
25/11/2022,16
26/11/2022,9
27/11/2022,20
28/11/2022,26
29/11/2022,13
30/11/2022,16
1/12/2022,15
2/12/2022,11
3/12/2022,17
4/12/2022,16
5/12/2022,20
6/12/2022,16
7/12/2022,22
8/12/2022,27
9/12/2022,23
10/12/2022,21
11/12/2022,24
12/12/2022,25
13/12/2022,37
14/12/2022,35
15/12/2022,19
16/12/2022,32
17/12/2022,24
18/12/2022,40
19/12/2022,39
20/12/2022,33
21/12/2022,50
22/12/2022,34
23/12/2022,46
24/12/2022,39
25/12/2022,50
26/12/2022,47
27/12/2022,53
28/12/2022,59
29/12/2022,62
30/12/2022,72
31/12/2022,52
1/1/2023,62
2/1/2023,74
3/1/2023,75
4/1/2023,63
5/1/2023,68
6/1/2023,55
7/1/2023,72
8/1/2023,66
9/1/2023,64
10/1/2023,75
11/1/2023,67
12/1/2023,74
13/1/2023,71
14/1/2023,54
15/1/2023,66
16/1/2023,50
17/1/2023,46
18/1/2023,56
19/1/2023,45
20/1/2023,42
21/1/2023,29
22/1/2023,37
23/1/2023,49
24/1/2023,36
25/1/2023,27
26/1/2023,28
27/1/2023,22
28/1/2023,33
29/1/2023,20
